draw,incremental_cost,incremental_qaly,incremental_life_years,icer,nmb_50000,nmb_150000,annual_drug_cost_cad,treatment_exposure_factor,utility_gain_per_pct_weight_loss,annual_diabetes_incidence,diabetes_rr_semaglutide,annual_diabetes_cost_cad,diabetes_utility_decrement
1,11677.495970141956,0.0427869944846897,0.01956172793576627,272921.6228150932,-9538.14624590747,-5259.446797438501,5199.05,0.7729288226291542,0.000692955387513226,0.030258871314771552,0.7604606015039644,900.0,0.03661953700436447
2,10756.755703519699,0.02970940981964887,0.0029390550589631914,362065.6138515925,-9271.285212537256,-6300.344230572368,5199.05,0.6917771515086407,0.000781535843140668,0.01604049783272552,0.9327902023290078,1360.7532506705058,0.028020924238436825
3,8890.358172303848,0.040925579054047034,0.01419584326072254,217232.31235318835,-6844.079219601496,-2751.5213141967924,4549.246177955259,0.6660356509178446,0.000514372033884462,0.028286030500438018,0.7513203904017658,1962.3522435640762,0.047196456247468155
4,10208.281421556494,0.029598684375422124,0.007977348259142758,344889.70158528903,-8728.347202785388,-5768.478765243175,4590.003393137777,0.7558218226134783,0.000490461032980544,0.036972299167036336,0.8705972724064963,2061.2030819351316,0.030747699675758428
5,10851.466931634946,0.04306977315549432,0.011721324628634733,251950.87265628303,-8697.97827386023,-4391.0009583107985,4579.85325158746,0.8008840339452394,0.0005865245952279185,0.028530042720486107,0.7883438901119799,900.0,0.051244535892370255
6,8982.34004904374,0.045706137608682695,0.011932630504251307,196523.7169228096,-6697.033168609605,-2126.419407741336,5199.05,0.5994311153230827,0.0006092741910988837,0.032310670522321,0.7171587765298894,1282.8221788669675,0.03748112397289213
7,11756.422711690475,0.023506297805457876,0.006560953199773678,500139.2736954424,-10581.107821417581,-8230.478040871792,4866.450774777089,0.8207889102610256,0.00035,0.02881016324387707,0.9056103078232948,1804.779697805125,0.05245983568901695
8,11195.332165041864,0.04685929777231834,0.01093385651764578,238913.78439852322,-8852.367276425946,-4166.437499194112,5074.305327721606,0.7509705235659422,0.0008005866986469233,0.019592085736938,0.6834409509489272,1419.9082131051396,0.04614040770224026
9,10081.431987310973,0.0318743361928,0.002563092465852179,316286.80598494277,-8487.715177670972,-5300.281558390972,5199.05,0.6534774013312897,0.0007563555245349783,0.01605689535631611,0.9437298047160977,2135.5321079016153,0.04453921784875236
10,9944.871328270732,0.06424622595036666,0.025885923951381784,154793.0821018752,-6732.560030752399,-307.93743571573214,4972.291816187473,0.720870460416871,0.0007673350677835167,0.02788061682610533,0.6925253980092595,2778.424358996612,0.05400449466164464
11,8723.764261771299,0.0667092375485403,0.0293749035904618,130772.95712491902,-5388.302384344284,1282.6213705097452,4652.122281681505,0.6782220270898172,0.0005909494947422961,0.0328301013421663,0.6386032182492782,2024.289704820822,0.044963224103583214
12,8928.833609457932,0.05101078147609783,0.018854901576379035,175038.16548354045,-6378.29453565304,-1277.2163880432572,4316.8814202993435,0.6704157214746905,0.0008392659733313773,0.012919912131492232,0.6371125883705263,1382.2617749987774,0.05310411404927473
13,7998.781939015338,0.058094869422610884,0.020264807384560157,137684.82515776448,-5094.038467884794,715.448474376295,4253.77,0.6464086342416053,0.0006618608570125201,0.025791078134595365,0.8066655723018543,1075.4935551514227,0.08
14,10302.56476966965,0.030502435628569913,0.01218204402282197,337762.0362886634,-8777.442988241155,-5727.199425384164,4787.672900492982,0.7105740693557413,0.0003714314495664366,0.04,0.8640474035419156,2108.4619481453888,0.04709088247140708
15,10882.777827915148,0.05930003524232674,0.02990458095425197,183520.5962937998,-7917.776065798811,-1987.772541566137,5135.283629487098,0.7434308792752037,0.0006132098189647996,0.024218166585033667,0.6731456932437339,1737.8839110650656,0.053031032366244735
16,8867.08972961758,0.028146801760136952,0.005138884885994344,315030.0984524516,-7459.749641610733,-4645.069465597038,4461.794240630679,0.6487001734571004,0.000583670456613512,0.021491892405054853,0.8783044334169376,1216.4398435544497,0.06056759278460826
17,10743.046482059435,0.04453308338972661,0.025170981455993058,241237.42764548303,-8516.392312573105,-4063.0839736004436,5005.398895117682,0.7374048552220004,0.00035,0.03290037618172637,0.8123610525445688,1823.5095985306027,0.0481339621988497
18,11930.825366071076,0.04994660941315132,0.02155942913150355,238871.5771951799,-9433.49489541351,-4438.833954098378,4803.583027490571,0.8427869163835886,0.000617053049754693,0.021732484420420764,0.800263018511694,904.9852312093508,0.05109966172795973
19,9463.665188371677,0.03634547173672331,0.009653569303907261,260380.8600126004,-7646.391601535512,-4011.8444278631796,4269.7808939056895,0.7211313058073962,0.0006333031008495601,0.021246781340859548,0.8067437570992674,1432.8773300138196,0.052147405267541844
20,9486.25541269753,0.025806540825232815,0.0058176654812562845,367591.126487676,-8195.92837143589,-5615.2742889126075,5199.05,0.6184383084963403,0.0004381138863164945,0.015656663160133328,0.7572465519446524,1526.1357918280437,0.029232242002643013
21,9135.054326662914,0.02937606107329671,0.008958296415283229,310969.34009872476,-7666.251272998078,-4728.645165668408,4253.77,0.7300639897246591,0.00043208262835921614,0.024093199578374486,0.739533225587336,1806.2594583583036,0.02826632671781235
22,12075.008925162978,0.05755679092249366,0.038740467685901336,209792.94939190167,-9197.169379038294,-3441.4902867889286,5166.53994318779,0.8105730398329447,0.0006611864411999277,0.026862379309895077,0.6548164053890292,1440.1771453162237,0.039141409592209804
23,9394.05769782015,0.050799032527038435,0.01662938772886946,184925.91749301608,-6854.106071468228,-1774.2028187643846,4253.77,0.7900627937736604,0.0008229107758544573,0.02400781102795452,0.7076024758975697,2663.7514224591364,0.04579876887551271
24,10337.791850028249,0.055117563195452135,0.029355134341638944,187558.94220812072,-7581.913690255642,-2070.157370710429,5165.449177895151,0.7045277661762385,0.00068100181011874,0.02182971881732964,0.6608090001070511,2105.4949314272444,0.03781205223821128
25,9731.405217015052,0.07396597886512879,0.047827738569630185,131565.9627077945,-6033.106273758613,1363.4916127542674,4778.003813152261,0.7481142844346841,0.000479693067950822,0.024464381986388773,0.6005202847970397,2333.9290406138575,0.049868055756837136
26,8688.440237743827,0.08701592918390588,0.060820366708025375,99848.84743781839,-4337.643778548533,4363.949139842054,4324.000670690546,0.7110296203512481,0.000492442584060673,0.025607447721143282,0.6,1693.6460026118214,0.0534394158475383
27,8111.050887201505,0.0372302968832976,0.005750455644154329,217861.56883536206,-6249.536043036625,-2526.5063547068657,4703.5624067886765,0.5694661815144639,0.0008226344330496561,0.024417986763004378,0.861559980209145,1991.092584332449,0.05780333838109345
28,10650.139964911818,0.0585682050940477,0.018771893568597875,181841.66558988835,-7721.729710209433,-1864.9092008046628,4738.000330008377,0.7564649748872169,0.0008410011429994545,0.016865072579988274,0.7569653398262766,1558.3311439109252,0.05737290077396568
29,10361.701782175232,0.05294291266540796,0.010218752925084118,195714.61524339972,-7714.556148904834,-2420.2648823640384,4944.746192665532,0.7283639699082481,0.0009273993044928541,0.028409444720037237,0.7980176114560291,1518.3899110484576,0.05069803304795192
30,9885.551285662528,0.04058961847427511,0.008496607343413842,243548.76092091855,-7856.070361948772,-3797.108514521261,4466.525897624525,0.7487659964070303,0.0008371101821980502,0.02890435203230995,0.9141240140908466,1969.4546567943494,0.05366405888499674
31,9659.46620820263,0.05510201935285153,0.027864836309028362,175301.4920623368,-6904.365240560053,-1394.1633052749003,4753.987454570618,0.732495726078927,0.0004620569016845837,0.03981699639085243,0.7078987066629405,2408.452455976594,0.04188820463352316
32,12464.280681306442,0.028640877110085228,0.010721065892422388,435192.00314285874,-11032.23682580218,-8168.149114793658,5135.083060839905,0.8388976446376453,0.00035,0.027785160138288707,0.8287662475708178,2222.391056698803,0.043393992025202645
