price_reduction_pct,additional_non_diabetes_qaly_multiplier,total_incremental_qaly,modeled_incremental_qaly,incremental_cost,nmb_50000,nmb_150000,cost_effective_at_50000,cost_effective_at_150000
0,0.0,0.045261366862686,0.045261366862686,9915.204637733783,-7652.136294599482,-3125.9996083308824,0,0
0,0.1,0.04978750354895461,0.045261366862686,9915.204637733783,-7425.829460286052,-2447.0791053905914,0,0
0,0.2,0.054313640235223205,0.045261366862686,9915.204637733783,-7199.522625972622,-1768.1586024503022,0,0
0,0.3,0.0588397769214918,0.045261366862686,9915.204637733783,-6973.215791659193,-1089.238099510012,0,0
0,0.4,0.06336591360776041,0.045261366862686,9915.204637733783,-6746.908957345762,-410.317596569721,0,0
0,0.5,0.067892050294029,0.045261366862686,9915.204637733783,-6520.602123032333,268.60290637056823,0,1
0,0.6,0.0724181869802976,0.045261366862686,9915.204637733783,-6294.295288718902,947.5234093108575,0,1
0,0.7,0.0769443236665662,0.045261366862686,9915.204637733783,-6067.988454405473,1626.4439122511467,0,1
0,0.8,0.08147046035283481,0.045261366862686,9915.204637733783,-5841.681620092042,2305.3644151914395,0,1
0,0.9,0.08599659703910341,0.045261366862686,9915.204637733783,-5615.374785778612,2984.284918131729,0,1
0,1.0,0.090522733725372,0.045261366862686,9915.204637733783,-5389.067951465183,3663.205421072018,0,1
0,1.1,0.0950488704116406,0.045261366862686,9915.204637733783,-5162.761117151753,4342.125924012307,0,1
0,1.2,0.09957500709790922,0.045261366862686,9915.204637733783,-4936.454282838322,5021.0464269526,0,1
0,1.3,0.1041011437841778,0.045261366862686,9915.204637733783,-4710.147448524893,5699.9669298928875,0,1
0,1.4,0.10862728047044641,0.045261366862686,9915.204637733783,-4483.840614211463,6378.8874328331785,0,1
0,1.5,0.11315341715671501,0.045261366862686,9915.204637733783,-4257.533779898033,7057.807935773468,0,1
0,1.6,0.1176795538429836,0.045261366862686,9915.204637733783,-4031.2269455846026,7736.728438713759,0,1
0,1.7,0.12220569052925222,0.045261366862686,9915.204637733783,-3804.9201112711717,8415.64894165405,0,1
0,1.8,0.12673182721552081,0.045261366862686,9915.204637733783,-3578.6132769577425,9094.56944459434,0,1
0,1.9,0.1312579639017894,0.045261366862686,9915.204637733783,-3352.3064426443134,9773.489947534628,0,1
0,2.0,0.135784100588058,0.045261366862686,9915.204637733783,-3125.9996083308824,10452.41045047492,0,1
0,2.1,0.14031023727432662,0.045261366862686,9915.204637733783,-2899.6927740174515,11131.33095341521,0,1
