price_reduction_pct,annual_drug_cost_cad,incremental_cost,incremental_qaly,icer,nmb_50000,nmb_150000,cost_effective_at_50000,cost_effective_at_150000
0,4726.41,9915.204637733783,0.045261366862686,219065.51491947967,-7652.136294599482,-3125.9996083308824,0,0
10,4253.769,8916.773377987342,0.045261366862686,197006.27700968602,-6653.705034853041,-2127.568348584441,0,0
20,3781.128,7918.3421182409,0.045261366862686,174947.03909989234,-5655.2737751066,-1129.1370888379997,0,0
30,3308.4869999999996,6919.910858494462,0.045261366862686,152887.80119009878,-4656.842515360162,-130.705829091562,0,0
40,2835.846,5921.479598748025,0.045261366862686,130828.5632803052,-3658.4112556137247,867.7254306548757,0,1
50,2363.205,4923.048339001587,0.045261366862686,108769.32537051162,-2659.979995867287,1866.1566904013134,0,1
60,1890.564,3924.6170792551493,0.045261366862686,86710.08746071806,-1661.5487361208493,2864.587950147751,0,1
70,1417.9230000000002,2926.185819508706,0.045261366862686,64650.84955092436,-663.1174763744061,3863.0192098941943,0,1
80,945.2819999999998,1927.7545597622666,0.045261366862686,42591.611641130745,335.3137833720334,4861.450469640634,1,1
90,472.6409999999999,929.3233000158252,0.045261366862686,20532.37373133709,1333.7450431184748,5859.881729387075,1,1
