parameter,label,spearman_nmb_50000,spearman_nmb_150000,spearman_icer,mean_value,p2_5,p97_5
diabetes_rr_semaglutide,Diabetes RR,-0.4515804013435724,-0.6516843988981492,0.6900692259004665,0.777023537662371,0.6,0.95
treatment_exposure_factor,Treatment exposure,-0.6090435987234781,-0.3567841304630288,0.2594588818143241,0.7204109616947467,0.588553358431506,0.8387475424375682
utility_gain_per_pct_weight_loss,Utility gain per weight loss,0.17833458938700675,0.32689884364642413,-0.3654115673851288,0.0006573907452665638,0.00035,0.0010040759753958599
annual_drug_cost_cad,Annual drug cost,-0.47941637403337123,-0.2642453931486632,0.1795429457656856,4721.216423169716,4253.77,5199.05
annual_diabetes_incidence,Annual diabetes incidence,0.18156016878839779,0.2431394863554369,-0.24934437555671074,0.024845476208609125,0.013568466439011297,0.04
diabetes_utility_decrement,Diabetes disutility,0.10434732419539032,0.18474516498034857,-0.19910330921243807,0.045551394225591034,0.02,0.0749166944440549
annual_diabetes_cost_cad,Annual diabetes cost,0.07384614382570283,0.0363593737724467,-0.022652331577230036,1799.4273465013862,900.0,3200.0
