parameter,base_value,low_value,high_value,icer_low_value,icer_high_value,base_icer,absolute_swing
diabetes_rr_semaglutide,0.78,0.6,0.95,147892.07760109546,378401.3642754065,219065.51491947967,159335.84935592685
utility_gain_per_pct_weight_loss,0.00065,0.00035,0.00125,281462.566573842,151772.87327953742,219065.51491947967,67292.64163994225
treatment_duration_years,3.0,2.0,5.0,189121.5937058591,283172.6121023209,219065.51491947967,64107.097182841215
annual_diabetes_incidence,0.025,0.0125,0.04,279787.8829452417,188063.56919063005,219065.51491947967,60722.36802576203
treatment_exposure_factor,0.72,0.55,0.9,166981.2031880225,274213.609693964,219065.51491947967,55148.09477448434
discount_rate,0.015,0.0,0.03,183732.46729395606,251381.3673157373,219065.51491947967,35333.04762552361
diabetes_utility_decrement,0.045,0.02,0.08,251580.87235951476,185500.68393081185,219065.51491947967,33564.83098866782
semaglutide_weight_loss_pct,14.9,11.9,17.9,247609.460384202,196422.32465412485,219065.51491947967,28543.945464722317
